,wood and crops in DM,,,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,India,Indonesia,Ireland,Italy,Japan,Latvia,Lithuania,Luxembourg,Malta,Mexico,Netherlands,Norway,Poland,Portugal,Romania,Russia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States,RoW Asia and Pacific,RoW America,RoW Europe,RoW Africa,RoW Middle East
,,,,AU,AT,BE,BR,BG,CA,CN,CY,CZ,DK,EE,FI,FR,DE,GR,HU,IN,ID,IE,IT,JP,LV,LT,LU,MT,MX,NL,NO,PL,PT,RO,RU,SK,SI,ZA,KR,ES,SE,CH,TW,TR,GB,US,WA,WL,WE,WF,WM
Derived calorific values - file: Delivery09 - Energy-Mass-Conversion_v1-AU-1,,,TJ/tonne,nonEU,EU,EU,nonEU,EU,nonEU,nonEU,EU,EU,EU,EU,EU,EU,EU,EU,EU,nonEU,nonEU,EU,EU,nonEU,EU,EU,EU,EU,nonEU,EU,nonEU,EU,EU,EU,nonEU,EU,EU,nonEU,nonEU,EU,EU,nonEU,nonEU,nonEU,EU,nonEU,nonEU,nonEU,nonEU,nonEU,nonEU
,,,,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,People's Republic of China,Cyprus,Belgium,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,India,Indonesia,Ireland,Italy,Japan,Latvia,Lithuania,Luxembourg,Malta,Mexico,Netherlands,Norway,Poland,Portugal,Romania,Russian Federation,Slovak Republic,Slovenia,South Africa,Korea,Spain,Sweden,Switzerland,Chinese Taipei,Turkey,United Kingdom,United States,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World
,,,,AU,AT,BE,BR,BG,CA,CN,CY,CZ,DK,EE,FI,FR,DE,GR,HU,IN,ID,IE,IT,JP,LV,LT,LU,MT,MX,NL,NO,PL,PT,RO,RU,SK,SI,ZA,KR,ES,SE,CH,TW,TR,GB,US,WA,WL,WE,WF,WM
1,Paddy rice,p01.a,C_PARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wheat,p01.b,C_WHEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cereal grains nec,p01.c,C_OCER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Vegetables, fruit, nuts",p01.d,C_FVEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Oil seeds,p01.e,C_OILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Sugar cane, sugar beet",p01.f,C_SUGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Plant-based fibers,p01.g,C_FIBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Crops nec,p01.h,C_OTCR,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
9,Cattle,p01.i,C_CATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pigs,p01.j,C_PIGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Poultry,p01.k,C_PLTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Meat animals nec,p01.l,C_OMEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Animal products nec,p01.m,C_OANP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Raw milk,p01.n,C_MILK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Wool, silk-worm cocoons",p01.o,C_WOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Manure (conventional treatment),p01.w.1,C_MANC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Manure (biogas treatment),p01.w.2,C_MANB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Products of forestry, logging and related services (02)",p02,C_FORE,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
19,Fish and other fishing products; services incidental of fishing (05),p05,C_FISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Anthracite,p10.a,C_ANTH,0.026700061,0.032363127,0.025184021,0.027699869,0.023899092,0.027699869,0.020934,0.026885056,0.030000097,0.027509619,0.027509619,0.027509619,0.027509619,0.029030015,0.027509619,0.027509619,0.024848407,0.024848407,0.027841801,0.027509619,0.026362186,0.027509619,0.027509619,0.029300064,0.027509619,0.027699869,0.029300064,0.027509619,0.027509619,0.027653814,0.0255332,0.02899987,0.027130883,0.027509619,0.026885056,0.022821827,0.019554375,0.027509619,0.028100127,0.027423959,0.026885056,0.027509619,0.028753732,0.024848407,0.027699869,0.027509619,0.026885056,0.026885056
21,Coking Coal,p10.b,C_COKC,0.028499966,0.029073139,0.029308019,0.030925029,0.027972848,0.025253389,0.02674486,0.02952723,0.028641732,0.029206027,0.029206027,0.029300064,0.030500001,0.02899987,0.029206027,0.031429889,0.025583094,0.028200191,0.029206027,0.030983995,0.028129853,0.029206027,0.029206027,0.029206027,0.029206027,0.023482924,0.028671206,0.029206027,0.029499664,0.029206027,0.0275005,0.028499966,0.027930143,0.029206027,0.03099488,0.0282609,0.030020193,0.030000097,0.029206027,0.027423959,0.02952723,0.028951307,0.028425845,0.027548975,0.02655378,0.029206027,0.03099488,0.02952723
