Country code,Product name,Product code 1,Product code 2,Unit
AU,Paddy rice,p01.a,C_PARI,tonnes
AU,Wheat,p01.b,C_WHEA,tonnes
AU,Cereal grains nec,p01.c,C_OCER,tonnes
AU,"Vegetables, fruit, nuts",p01.d,C_FVEG,tonnes
AU,Oil seeds,p01.e,C_OILS,tonnes
AU,"Sugar cane, sugar beet",p01.f,C_SUGB,tonnes
AU,Plant-based fibers,p01.g,C_FIBR,tonnes
AU,Crops nec,p01.h,C_OTCR,tonnes
AU,Cattle,p01.i,C_CATL,tonnes
AU,Pigs,p01.j,C_PIGS,tonnes
AU,Poultry,p01.k,C_PLTR,tonnes
AU,Meat animals nec,p01.l,C_OMEA,tonnes
AU,Animal products nec,p01.m,C_OANP,tonnes
AU,Raw milk,p01.n,C_MILK,tonnes
AU,"Wool, silk-worm cocoons",p01.o,C_WOOL,tonnes
AU,Manure (conventional treatment),p01.w.1,C_MANC,tonnes
AU,Manure (biogas treatment),p01.w.2,C_MANB,tonnes
AU,"Products of forestry, logging and related services (02)",p02,C_FORE,tonnes
AU,Fish and other fishing products; services incidental of fishing (05),p05,C_FISH,tonnes
AU,"Coal, lignite and peat",p10,C_CLPT,tonnes
AU,"Crude petroleum and services related to crude oil extraction, excluding surveying",p11.a,C_COIL,tonnes
AU,"Natural gas and services related to natural gas extraction, excluding surveying; inclulding liquid gas",p11.2,C_GASS,tonnes
AU,Other Hydrocarbons,p11.c,C_OGPL,tonnes
AU,Uranium and thorium ores (12),p12,C_ORAN,tonnes
AU,Iron ores,p13.1,C_IRON,tonnes
AU,Copper ores and concentrates,p13.20.11,C_COPO,tonnes
AU,Nickel ores and concentrates,p13.20.12,C_NIKO,tonnes
AU,Aluminium ores and concentrates,p13.20.13,C_ALUO,tonnes
AU,Precious metal ores and concentrates,p13.20.14,C_PREO,tonnes
AU,"Lead, zinc and tin ores and concentrates",p13.20.15,C_LZTO,tonnes
AU,Other non-ferrous metal ores and concentrates,p13.20.16,C_ONFO,tonnes
AU,Stone,p14.1,C_STON,tonnes
AU,Sand and clay,p14.2,C_SDCL,tonnes
AU,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3,C_CHMF,tonnes
AU,Products of meat cattle,p15.a,C_PCAT,tonnes
AU,Products of meat pigs,p15.b,C_PPIG,tonnes
AU,Products of meat poultry,p15.c,C_PPLT,tonnes
AU,Meat products nec,p15.d,C_POME,tonnes
AU,products of Vegetable oils and fats,p15.e,C_VOIL,tonnes
AU,Dairy products,p15.f,C_DAIR,tonnes
AU,Processed rice,p15.g,C_RICE,tonnes
AU,Sugar,p15.h,C_SUGR,tonnes
AU,Food products nec,p15.i,C_OFOD,tonnes
AU,Beverages,p15.j,C_BEVR,tonnes
AU,Fish products,p15.k,C_FSHP,tonnes
AU,Tobacco products (16),p16,C_TOBC,tonnes
AU,Textiles (17),p17,C_TEXT,tonnes
AU,Wearing apparel; furs (18),p18,C_GARM,tonnes
AU,Leather and leather products (19),p19,C_LETH,tonnes
AU,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20,C_WOOD,tonnes
AU,"Wood material for treatment, Re-processing of secondary wood material into new wood material",p20.w,C_WOOW,tonnes
AU,Pulp,p21.1,C_PULP,tonnes
AU,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",p21.w.1,C_PAPR,tonnes
AU,Paper and paper products,p21.2,C_PAPE,tonnes
AU,Printed matter and recorded media (22),p22,C_MDIA,tonnes
AU,Coke oven products,p23.1,C_COPR,tonnes
AU, Refined Petroleum,p23.2,C_REFP,tonnes
AU,Nuclear fuel,p23.3,C_NUCF,TJ
AU,"Plastics, basic",p24.a,C_PLAS,tonnes
AU,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",p24.a.w,C_PLAW,tonnes
AU,N-fertiliser,p24.b,C_NFER,tonnes
AU,P- and other fertiliser,p24.c,C_PFER,tonnes
AU,Chemicals nec; additives and biofuels,p24.4,C_CHBI,tonnes
AU,Rubber and plastic products (25),p25,C_RUBP,tonnes
AU,Glass and glass products,p26.a,C_GLAS,tonnes
AU,"Secondary glass for treatment, Re-processing of secondary glass into new glass",p26.w.1,C_GLAW,tonnes
AU,Ceramic goods,p26.b,C_CRMC,tonnes
AU,"Bricks, tiles and construction products, in baked clay",p26.c,C_BRIK,tonnes
AU,"Cement, lime and plaster",p26.d,C_CMNT,tonnes
AU,"Ash for treatment, Re-processing of ash into clinker",p26.d.w,C_ASHW,tonnes
AU,Other non-metallic mineral products,p26.e,C_ONMM,tonnes
AU,Basic iron and steel and of ferro-alloys and first products thereof,p27.a,C_STEL,tonnes
AU,"Secondary steel for treatment, Re-processing of secondary steel into new steel",p27.a.w,C_STEW,tonnes
AU,Precious metals,p27.41,C_PREM,tonnes
AU,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",p27.41.w,C_PREW,tonnes
AU,Aluminium and aluminium products,p27.42,C_ALUM,tonnes
AU,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",p27.42.w,C_ALUW,tonnes
AU,"Lead, zinc and tin and products thereof",p27.43,C_LZTP,tonnes
AU,"Secondary lead for treatment, Re-processing of secondary lead into new lead",p27.43.w,C_LZTW,tonnes
AU,Copper products,p27.44,C_COPP,tonnes
AU,"Secondary copper for treatment, Re-processing of secondary copper into new copper",p27.44.w,C_COPW,tonnes
AU,Other non-ferrous metal products,p27.45,C_ONFM,tonnes
AU,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",p27.45.w,C_ONFW,tonnes
AU,Foundry work services,p27.5,C_METC,tonnes
AU,"Fabricated metal products, except machinery and equipment (28)",p28,C_FABM,tonnes
AU,Machinery and equipment n.e.c. (29),p29,C_MACH,tonnes
AU,Office machinery and computers (30),p30,C_OFMA,tonnes
AU,Electrical machinery and apparatus n.e.c. (31),p31,C_ELMA,tonnes
AU,"Radio, television and communication equipment and apparatus (32)",p32,C_RATV,tonnes
AU,"Medical, precision and optical instruments, watches and clocks (33)",p33,C_MEIN,tonnes
AU,"Motor vehicles, trailers and semi-trailers (34)",p34,C_MOTO,Meuro
AU,Other transport equipment (35),p35,C_OTRE,Meuro
AU,Furniture; other manufactured goods n.e.c. (36),p36,C_FURN,tonnes
AU,Secondary raw materials,p37,C_RYMS,Meuro
AU,"Bottles for treatment, Recycling of bottles by direct reuse",p37.w.1,C_BOTW,tonnes
AU,Electricity by coal,p40.11.a,C_POWC,TJ
AU,Electricity by gas,p40.11.b,C_POWG,TJ
AU,Electricity by nuclear,p40.11.c,C_POWN,TJ
AU,Electricity by hydro,p40.11.d,C_POWH,TJ
AU,Electricity by wind,p40.11.e,C_POWW,TJ
AU,Electricity by petroleum and other oil derivatives,p40.11.f,C_POWP,TJ
AU,Electricity by biomass and waste,p40.11.g,C_POWB,TJ
AU,Electricity by solar photovoltaic,p40.11.h,C_POWS,TJ
AU,Electricity by solar thermal,p40.11.i,C_POWE,TJ
AU,"Electricity by tide, wave, ocean",p40.11.j,C_POWO,TJ
AU,Electricity by Geothermal,p40.11.k,C_POWM,TJ
AU,Electricity nec,p40.11.l,C_POWZ,TJ
AU,Transmission services of electricity,p40.12,C_POWT,Meuro
AU,Distribution and trade services of electricity,p40.13,C_POWD,Meuro
AU,Biogas an other gases nec.,p40.2.1,C_BGAS,tonnes
AU,Distribution services of gaseous fuels through mains,p40.2.2,C_GASD,Meuro
AU,Steam and hot water supply services,p40.3,C_HWAT,TJ
AU,"Collected and purified water, distribution services of water (41)",p41,C_WATR,Meuro
AU,Construction work (45),p45,C_CONS,Meuro
AU,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",p45.w,C_CONW,tonnes
